time,house,tenant,duration,mean,ci_low,ci_high
140.0,05641 Robin Port,Megan,11.0,13.5,11.6,15.552499999999997
150.0,3287 Katelyn Wall Apt. 226,Jeremy,13.0,14.15,10.95,17.0525
160.0,05641 Robin Port,Joseph,12.0,14.4,11.333333333333332,17.266666666666666
170.0,76483 Cameron Trail,George,23.0,15.65,14.816666666666666,16.584166666666665
160.0,525 Clark Grove Apt. 928,Danielle,13.0,14.4,11.333333333333332,17.266666666666666
170.0,76724 John Points Suite 969,Jeremy,16.0,15.65,14.816666666666666,16.584166666666665
170.0,3287 Katelyn Wall Apt. 226,Leslie,14.0,15.65,14.816666666666666,16.584166666666665
160.0,05641 Robin Port,Joseph,7.0,14.4,11.333333333333332,17.266666666666666
180.0,525 Clark Grove Apt. 928,Megan,20.0,16.12333333333333,13.679999999999998,18.55875
170.0,05641 Robin Port,Joseph,6.0,15.65,14.816666666666666,16.584166666666665
190.0,3287 Katelyn Wall Apt. 226,Chelsea,17.0,14.05,11.666666666666668,16.683333333333334
190.0,76724 John Points Suite 969,Angela,23.0,14.05,11.666666666666668,16.683333333333334
180.0,76483 Cameron Trail,Danielle,6.0,16.12333333333333,13.679999999999998,18.55875
180.0,05641 Robin Port,Joseph,11.0,16.12333333333333,13.679999999999998,18.55875
190.0,76483 Cameron Trail,Jeremy,9.0,14.05,11.666666666666668,16.683333333333334
200.0,525 Clark Grove Apt. 928,Jason,19.0,14.716666666666665,12.783333333333331,17.6
200.0,05641 Robin Port,Joseph,11.0,14.716666666666665,12.783333333333331,17.6
200.0,3287 Katelyn Wall Apt. 226,Danielle,9.0,14.716666666666665,12.783333333333331,17.6
200.0,76483 Cameron Trail,Jeremy,10.0,14.716666666666665,12.783333333333331,17.6
210.0,05641 Robin Port,Joseph,9.0,13.0,11.473749999999999,14.7
210.0,76724 John Points Suite 969,Megan,12.0,13.0,11.473749999999999,14.7
220.0,3287 Katelyn Wall Apt. 226,Danielle,20.0,15.933333333333334,13.2,17.852499999999996
220.0,76483 Cameron Trail,Jeremy,16.0,15.933333333333334,13.2,17.852499999999996
230.0,525 Clark Grove Apt. 928,Joseph,24.0,16.85,14.25,20.2
220.0,76724 John Points Suite 969,Angela,12.0,15.933333333333334,13.2,17.852499999999996
230.0,76483 Cameron Trail,Jason,11.0,16.85,14.25,20.2
240.0,3287 Katelyn Wall Apt. 226,Chelsea,18.0,13.35,11.489999999999998,14.725750000000001
240.0,76724 John Points Suite 969,Jeremy,11.0,13.35,11.489999999999998,14.725750000000001
250.0,525 Clark Grove Apt. 928,Joseph,18.0,14.353333333333333,12.9,16.044500000000003
